Age (months),Gender,Region,Mother_Education,Household_Wealth_Index,Height_cm,Weight_kg
56,0,1,1,0,82.8,7.3
5,0,2,1,1,76.1,5.2
23,0,3,3,0,91.7,5.0
28,1,2,2,1,64.6,7.6
26,1,2,1,2,95.5,15.0
13,1,2,1,2,82.1,13.1
12,0,0,2,2,97.4,19.9
14,0,3,0,1,65.4,7.4
18,1,2,3,0,88.3,14.0
33,1,1,3,1,60.8,5.1
23,1,1,3,2,101.1,13.5
2,1,4,2,2,68.2,9.4
20,0,2,2,1,107.6,18.1
37,0,4,0,0,93.1,11.8
6,0,0,1,0,104.5,12.7
56,1,0,0,2,83.7,17.1
12,1,3,0,1,102.7,13.0
47,1,0,2,0,63.5,15.6
54,0,1,2,0,64.5,5.9
26,0,2,0,2,63.9,10.6
21,0,3,3,2,104.5,19.3
24,1,4,1,1,81.6,8.2
58,1,2,2,2,98.3,12.7
32,0,2,3,0,80.8,17.4
10,1,1,2,0,72.7,11.0
20,1,3,2,2,98.9,11.5
45,1,2,3,2,85.3,5.1
0,0,4,2,0,101.3,8.4
38,0,3,0,2,85.6,12.3
45,1,1,1,0,89.7,19.2
45,0,4,3,1,100.0,11.9
50,0,4,2,2,102.6,12.3
35,1,0,1,1,98.1,12.8
55,1,4,3,1,98.2,8.0
40,0,1,0,0,67.2,12.2
55,0,3,2,1,103.5,12.7
23,0,0,0,2,99.8,18.7
59,1,4,3,0,103.6,7.3
0,1,3,1,1,68.0,17.8
0,0,4,0,0,108.4,14.7
17,1,0,0,2,84.0,19.3
54,1,3,2,1,109.7,8.8
5,0,3,3,2,73.4,10.4
32,1,2,2,0,85.3,17.8
57,0,0,1,0,61.9,11.1
23,0,2,0,2,68.1,17.0
1,0,2,0,1,88.7,16.2
56,0,4,2,1,108.6,9.5
16,1,1,0,1,65.5,13.9
22,1,4,0,1,106.5,16.1
6,0,2,2,0,68.8,5.3
51,0,0,1,0,105.7,7.4
54,0,4,2,1,63.7,14.3
41,1,2,0,0,75.9,19.3
1,1,0,0,1,99.0,12.9
4,0,2,0,0,65.1,9.4
39,0,0,1,0,98.0,5.3
56,1,4,1,2,67.2,13.0
36,0,3,2,2,90.1,12.6
18,1,0,0,2,82.4,15.7
2,0,2,2,1,102.4,7.7
11,0,1,0,1,98.3,18.2
27,1,2,0,2,61.2,5.6
47,1,1,0,1,99.3,18.6
46,0,2,3,2,92.7,13.9
46,0,1,0,2,83.7,5.1
30,1,1,0,1,97.2,10.4
8,0,2,3,2,91.0,16.6
9,0,1,2,0,68.1,9.4
42,1,4,2,2,61.6,8.1
4,0,3,2,0,69.0,16.5
22,0,1,1,1,86.0,5.9
47,0,2,1,2,68.2,14.4
56,1,0,1,0,72.8,18.2
38,1,1,2,2,72.2,17.5
31,0,4,0,0,63.9,17.2
23,1,3,2,2,92.4,10.5
39,0,0,3,1,87.5,17.1
10,0,2,2,2,73.0,6.5
30,1,4,2,1,62.0,17.5
19,1,0,3,1,84.8,6.8
30,1,3,0,2,100.0,16.1
30,1,3,2,1,70.4,6.0
33,0,4,0,0,68.9,18.7
8,0,0,1,2,106.7,16.8
23,1,4,3,1,94.6,14.6
47,0,1,0,2,107.7,14.6
31,0,4,2,0,60.8,12.8
35,1,0,0,1,94.3,6.9
52,0,1,1,0,90.0,9.4
1,0,4,1,0,68.3,9.6
18,1,2,2,0,105.9,20.0
4,1,2,3,1,66.7,13.2
35,0,1,2,2,79.5,5.4
12,0,1,1,2,73.6,17.8
16,0,1,2,0,108.6,9.2
58,0,2,1,1,86.7,18.8
14,0,3,0,2,70.6,12.1
35,0,1,3,0,81.5,17.7
3,0,3,1,2,92.2,14.8
46,1,1,0,0,108.2,14.6
47,0,2,3,1,67.2,13.4
25,1,2,2,0,93.5,14.5
45,0,0,0,2,101.4,6.4
28,0,3,2,0,82.1,6.1
58,1,2,2,0,62.8,18.9
41,0,4,2,1,70.7,8.8
35,0,0,0,0,65.8,14.0
52,1,1,1,0,78.8,16.9
59,0,3,3,0,104.1,11.3
17,0,3,0,1,83.7,8.0
15,0,4,3,1,96.8,16.4
46,0,2,0,0,66.9,9.5
11,1,4,1,2,66.0,9.7
25,1,3,2,2,63.0,9.1
7,0,1,3,0,62.2,11.3
48,0,3,3,1,64.5,13.5
7,0,0,1,1,83.2,8.5
53,1,4,1,2,85.4,5.8
22,1,1,2,1,63.1,12.1
14,0,3,0,0,65.8,7.7
33,0,1,2,0,92.2,14.2
1,0,4,0,1,65.2,11.2
3,1,0,2,0,60.5,8.3
51,1,1,0,1,84.0,18.0
50,1,3,2,0,84.3,5.2
26,0,1,3,2,68.9,16.8
12,1,1,0,2,89.9,6.0
19,0,4,3,1,74.7,8.2
5,1,1,1,0,66.8,7.1
3,0,3,1,1,89.5,14.7
50,1,4,2,2,94.6,8.6
55,1,1,1,2,93.8,7.4
23,1,1,2,2,91.1,16.9
0,1,1,1,2,105.2,9.3
46,0,1,2,0,75.4,7.3
38,1,2,2,2,101.7,17.4
38,0,4,0,0,97.6,16.0
33,1,4,1,0,73.4,11.6
8,1,0,1,2,99.6,5.8
51,1,0,0,0,64.5,17.8
18,1,4,3,2,96.2,15.1
16,0,2,1,2,61.3,7.2
14,0,1,2,1,68.3,10.5
23,1,3,0,0,95.6,19.9
2,0,1,1,2,103.5,16.6
58,1,0,1,0,69.2,7.8
28,0,4,3,2,86.9,7.2
55,0,4,3,1,64.6,10.2
4,1,2,1,2,93.6,19.4
33,1,1,1,2,99.4,13.2
7,0,1,0,2,62.3,18.9
41,0,2,2,0,72.4,20.0
37,0,1,0,0,85.2,17.9
20,0,2,2,0,78.6,14.4
8,0,0,2,1,109.0,11.5
27,0,4,3,0,104.9,11.5
13,1,3,1,2,107.5,19.5
46,0,1,3,1,84.6,8.6
51,0,3,0,0,82.0,10.4
11,1,2,2,0,83.2,6.1
32,0,4,2,2,62.0,19.3
18,0,1,3,1,73.2,6.8
41,0,1,2,2,83.6,8.0
55,1,2,1,0,106.7,17.6
28,0,3,2,1,106.7,7.2
56,1,1,2,1,107.4,13.8
8,1,1,1,0,78.2,14.7
35,1,0,2,1,101.2,12.0
58,0,0,0,1,90.4,17.6
20,1,0,1,0,73.4,6.1
46,0,2,3,2,75.0,18.9
50,1,3,2,1,60.8,6.1
37,0,3,0,1,93.9,12.7
54,0,4,0,1,84.2,11.0
43,1,1,0,0,96.5,9.3
43,1,2,1,1,78.0,10.7
23,1,3,1,1,66.1,17.6
1,1,2,0,2,69.6,15.0
22,0,2,0,0,65.0,12.9
21,1,0,3,0,104.7,19.9
53,0,2,3,1,90.1,17.8
31,1,0,1,1,68.2,8.2
14,1,1,0,0,72.9,17.7
53,0,0,1,2,83.0,17.8
36,1,0,0,0,108.8,18.2
12,1,3,1,1,66.6,11.9
16,0,4,3,2,82.6,17.6
47,1,1,2,1,107.6,18.5
31,1,0,2,2,99.2,12.8
16,1,0,1,2,72.6,6.5
29,0,3,0,2,97.2,12.0
37,1,3,1,0,104.7,15.0
36,0,1,2,1,100.9,8.7
36,1,3,1,0,99.1,6.0
0,1,0,1,1,100.2,6.8
10,1,4,0,0,90.0,15.8
52,1,0,0,1,75.3,17.4
18,1,4,3,0,92.0,10.6
34,0,2,3,1,72.4,6.8
58,0,2,1,2,109.4,16.6
56,1,1,3,2,65.3,19.5
23,1,3,0,1,105.9,14.7
14,0,2,3,0,95.4,14.7
51,0,4,2,0,68.1,19.6
31,1,0,0,1,68.5,16.5
3,0,1,2,2,68.0,7.6
38,1,1,2,2,76.4,19.5
34,0,4,2,1,109.9,16.7
42,1,4,1,2,68.6,7.5
25,0,4,3,0,94.2,6.5
33,0,4,0,0,74.2,14.9
14,0,1,3,1,60.4,15.6
